# ;;;;;;Nedladdat från datavärdskapet för luft, SMHI, http://www.smhi.se/datavardluft, 2020-12-01 07:02:25
# ;;;;;;Tidsangivelser i UTC+1, Svensk normaltid
#
#Stationsnamn;Nationell stationskod;Klassificering;Longitud;Latitud
#Stockholm E4/E20 Lilla Essingen;18644;Urban Traffic;18.00439;59.325527
#
#Ämne;Ämnesbeskrivning;Enhet;Mäthöjd;Inlet-id
#NO2;Nitrogen dioxide;ug.m-3;2;344
#NOX as NO2;Nitrogen oxides;ug.m-3;2;345
#PM10;Particulate matter < 10 µm;ug.m-3;2;342
#PM2.5;Particulate matter < 2.5 µm;ug.m-3;2;343
#
Start;Slut;NO2 (344);NOX as NO2 (345);PM10 (342);PM2.5 (343)
2015-01-01 00:00;2015-01-01 01:00;11.0;18.8;27.9;19.8
2015-01-01 01:00;2015-01-01 02:00;15.3;25.0;15.5;4.50
2015-01-01 02:00;2015-01-01 03:00;13.4;19.8;17.1;4.60
2015-01-01 03:00;2015-01-01 04:00;9.60;13.8;15.2;5.30
2015-01-01 04:00;2015-01-01 05:00;3.50;5.80;16.3;6.60
2015-01-01 05:00;2015-01-01 06:00;2.80;5.10;14.2;5.90
2015-01-01 06:00;2015-01-01 07:00;4.50;8.30;16.1;4.50
2015-01-01 07:00;2015-01-01 08:00;3.40;6.30;15.3;6.40
2015-01-01 08:00;2015-01-01 09:00;2.00;3.80;16.0;4.70
2015-01-01 09:00;2015-01-01 10:00;3.90;7.70;17.0;5.40
2015-01-01 10:00;2015-01-01 11:00;5.70;10.1;16.5;5.70
2015-01-01 11:00;2015-01-01 12:00;7.20;13.2;12.6;4.50
2015-01-01 12:00;2015-01-01 13:00;8.30;14.8;12.9;6.60
2015-01-01 13:00;2015-01-01 14:00;10.8;20.4;11.9;5.50
2015-01-01 14:00;2015-01-01 15:00;11.6;20.9;11.9;6.90
2015-01-01 15:00;2015-01-01 16:00;13.9;25.9;11.3;7.10
2015-01-01 16:00;2015-01-01 17:00;11.1;20.3;9.00;3.50
2015-01-01 17:00;2015-01-01 18:00;9.80;18.1;8.90;4.30
2015-01-01 18:00;2015-01-01 19:00;9.00;16.2;11.9;5.70
2015-01-01 19:00;2015-01-01 20:00;12.7;22.0;15.1;6.10
2015-01-01 20:00;2015-01-01 21:00;7.80;12.5;13.3;6.30
2015-01-01 21:00;2015-01-01 22:00;6.20;9.50;13.9;6.00
2015-01-01 22:00;2015-01-01 23:00;5.40;8.30;11.1;4.20
2015-01-01 23:00;2015-01-02 00:00;4.20;6.60;10.9;3.60
2015-01-02 00:00;2015-01-02 01:00;2.80;6.20;9.00;2.80
2015-01-02 01:00;2015-01-02 02:00;1.50;2.70;7.00;2.50
2015-01-02 02:00;2015-01-02 03:00;0.400;1.60;4.00;1.50
2015-01-02 03:00;2015-01-02 04:00;0.700;1.90;1.10;0.0
2015-01-02 04:00;2015-01-02 05:00;2.40;4.40;1.80;0.900
2015-01-02 05:00;2015-01-02 06:00;5.70;11.1;5.10;1.50
2015-01-02 06:00;2015-01-02 07:00;11.7;22.9;5.40;-0.300
2015-01-02 07:00;2015-01-02 08:00;9.60;18.4;4.40;-0.100
2015-01-02 08:00;2015-01-02 09:00;9.10;16.2;5.90;1.40
2015-01-02 09:00;2015-01-02 10:00;12.5;26.0;9.50;4.10
2015-01-02 10:00;2015-01-02 11:00;24.5;49.0;20.6;6.60
2015-01-02 11:00;2015-01-02 12:00;15.8;37.0;18.8;4.60
2015-01-02 12:00;2015-01-02 13:00;17.1;40.4;12.9;7.10
2015-01-02 13:00;2015-01-02 14:00;15.8;35.7;15.8;7.50
2015-01-02 14:00;2015-01-02 15:00;20.8;43.8;27.8;6.10
2015-01-02 15:00;2015-01-02 16:00;21.9;45.0;24.0;5.10
2015-01-02 16:00;2015-01-02 17:00;21.8;43.4;24.1;3.40
2015-01-02 17:00;2015-01-02 18:00;16.2;30.7;28.0;2.10
2015-01-02 18:00;2015-01-02 19:00;11.0;21.2;25.1;2.50
2015-01-02 19:00;2015-01-02 20:00;10.2;19.0;85.7;3.00
2015-01-02 20:00;2015-01-02 21:00;9.30;17.5;26.4;2.20
2015-01-02 21:00;2015-01-02 22:00;7.80;13.5;35.5;1.60
