Start,NO2,NOX as NO2,PM10,PM2.5
2019-10-01 00:00:00,10.247773942620054,15.836806078076357,3.622480732783977,-0.25744555308970085
2019-10-01 01:00:00,8.370581326379284,11.809831934008166,4.4492857124429435,-0.07948748982569143
2019-10-01 02:00:00,6.685992823991718,6.437927472585201,3.6635665663029187,-0.13759734574834237
2019-10-01 03:00:00,6.674021293562589,4.448334516479207,4.071181991537447,0.06942606338333146
2019-10-01 04:00:00,10.21174944321432,11.271516163309052,5.3553437401804,0.3568260711921232
2019-10-01 05:00:00,17.39137891161212,31.099515183427584,8.254391432061185,0.7378239200491956
2019-10-01 06:00:00,26.568805781307447,58.92097629675355,11.212677298900811,1.3343204512536921
2019-10-01 07:00:00,33.71272145209561,81.25080028627715,13.178811385529102,1.8085273081253952
2019-10-01 08:00:00,37.2365043046929,92.66017539313054,14.69237536064077,1.9178123712570732
2019-10-01 09:00:00,36.59688414642621,91.55670483930261,15.279343898083741,1.9272601866704653
2019-10-01 10:00:00,34.644081437885625,84.23512447162149,15.6217661255036,1.927931222402298
2019-10-01 11:00:00,34.06676650101545,80.04352974312931,16.53575031466663,1.833965996951064
2019-10-01 12:00:00,35.136903099698465,81.93007742120494,17.19420849613006,1.9129374039084621
2019-10-01 13:00:00,36.92693752128161,87.74944520379593,17.80200569353041,2.0145126035312932
2019-10-01 14:00:00,38.468710287426944,92.1045926111122,17.826141203837068,2.0320257169050966
2019-10-01 15:00:00,39.19451743303625,93.12321795627864,16.93277243800514,2.0294604606736337
2019-10-01 16:00:00,39.44762314788234,90.80313322904368,16.73677463155092,2.2264171081917774
2019-10-01 17:00:00,38.940239364927805,85.33199619532692,16.686772937200363,2.3832124203642397
2019-10-01 18:00:00,37.9106637936892,78.9625993923253,16.905817431647147,2.6011593107013176
2019-10-01 19:00:00,36.55325414613874,73.16478709939702,17.17172197494197,2.7046137167822906
2019-10-01 20:00:00,34.266237758647655,66.19525045819675,17.224448631459328,2.783465011407781
2019-10-01 21:00:00,31.704929985825164,59.75647921235933,15.511541757681485,2.5999450117948095
2019-10-01 22:00:00,27.93132333820414,50.540059129739674,13.39260297771878,2.405128324802291
2019-10-01 23:00:00,24.037291034623088,42.426446237998924,12.038208365630332,2.272121995345823
2019-10-02 00:00:00,14.321144943347337,23.668621301587876,8.79391007816621,1.9748473443727521
2019-10-02 01:00:00,12.73553433784458,20.828196852092347,9.156534716800275,1.9134000815135157
2019-10-02 02:00:00,11.778901121148621,18.36511499761138,8.175460227498974,1.7246015738858036
2019-10-02 03:00:00,11.989283577683597,18.022758817016943,8.178572197316054,1.7607535473360372
2019-10-02 04:00:00,14.440305070733135,23.29434540086229,8.818979607726853,1.8895063069161124
2019-10-02 05:00:00,18.99453043007945,35.88307108307097,10.596495037722782,2.0904481100179164
2019-10-02 06:00:00,24.89503723999364,53.59346441012391,12.761965904319219,2.4536359351705257
2019-10-02 07:00:00,29.494496835431754,67.50276030847458,14.588205750452342,2.7447986456217395
2019-10-02 08:00:00,31.61017201466697,74.05090134557324,15.991827123786091,2.800050318299397
2019-10-02 09:00:00,30.645849280787267,71.7824186434113,16.347969613729212,2.743232589171787
2019-10-02 10:00:00,28.832164798594054,65.44260510923593,16.00471279589832,2.6453330720325465
2019-10-02 11:00:00,28.268917044063407,62.4033446843895,15.985170286266442,2.4938944021723675
2019-10-02 12:00:00,28.944637703904206,63.71199067965257,15.849009675308007,2.5366476513333787
2019-10-02 13:00:00,29.898648801757496,66.56395057583967,15.56816174175411,2.591409988822116
2019-10-02 14:00:00,30.588636292739334,68.28720249229895,15.045738737939537,2.6201529924112923
2019-10-02 15:00:00,30.79327486118077,68.46420267995417,14.299234327461466,2.6722909367296426
2019-10-02 16:00:00,30.70773684252733,66.2617082790173,14.120293003630314,2.853876576262678
2019-10-02 17:00:00,30.229923517367908,61.947106757000164,14.157410249608244,3.0091514869276725
2019-10-02 18:00:00,29.765498771177885,58.614977299427196,14.372794538894631,3.2395422599776227
2019-10-02 19:00:00,29.11668195423441,55.7719157103392,14.57684761130282,3.359449910666915
2019-10-02 20:00:00,27.963707483459256,52.435254450718105,14.667664998654377,3.4469710482294857
2019-10-02 21:00:00,26.823096883391468,49.92897461849219,13.719857870531737,3.341263003880189
2019-10-02 22:00:00,24.42309459797054,44.35256297224422,12.353282766278792,3.204406032395437
2019-10-02 23:00:00,21.340505125401638,37.11266759563462,11.379145044931922,3.0514849557450265
2019-10-03 00:00:00,8.99018129816562,13.738060554887923,4.546045579319372,1.4845736246543009
2019-10-03 01:00:00,7.36775851840898,8.856035494082256,4.885032463731365,1.593025255278862
2019-10-03 02:00:00,7.7489283273053715,7.661647241908568,4.31640472362756,1.550946412348793
2019-10-03 03:00:00,11.49664298245034,16.74021071639708,5.486991199473323,1.8908995486844429
2019-10-03 04:00:00,17.843044914878725,33.16444659589927,7.370325228776249,2.3031511165583805
2019-10-03 05:00:00,24.60013790633746,52.612538742587155,10.361586594898599,2.720835928997093
2019-10-03 06:00:00,30.496108364347783,71.12351218842005,13.280602657794017,3.182336004225371
2019-10-03 07:00:00,33.41119804069139,80.22867977960549,15.514519728011752,3.4747955908112798
2019-10-03 08:00:00,34.05321645046353,80.62219973073448,17.23737529884835,3.4974585204156363
2019-10-03 09:00:00,33.029821801803486,75.41297470149941,17.99561628994898,3.4671283181548187
2019-10-03 10:00:00,32.40712678922294,71.57463270564969,18.217000574521702,3.4587141735365576
2019-10-03 11:00:00,33.042658858664595,72.26146891575571,18.66530350603354,3.409683216579296
